Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties
CHEMBL268758,A-119637,0,462.58,0,3.25,2a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL415887,,0,455.65,1,5.07,15,Cc1ccc(C(C(=O)NCCCN2CCN(c3ccccc3C)CC2)c2ccc(C)cc2)cc1,Ki,'=',6.6,nM,8.18,,,UO_0000065,17.95,0.33,3.11,22.99,FALSE,CHEMBL649157,Inhibition of binding of [125I]HEAT to cloned human alpha-1B adrenergic receptor.,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1133241,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2000,None,
CHEMBL289339,,0,452.04,1,5.45,25,Cc1ccccc1C1(C#N)CCN(CCCNC(=O)C(c2ccc(Cl)cc2)C(C)C)CC1,Ki,'=',870,nM,6.06,,,UO_0000065,13.41,0.26,0.61,10.8,FALSE,CHEMBL649157,Inhibition of binding of [125I]HEAT to cloned human alpha-1B adrenergic receptor.,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1133241,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2000,None,
CHEMBL2205816,,0,280.37,0,1.38,8g,OC12C3C4CC5C6C4C1C6C(C53)N2CCc1ccccn1,Ki,,,,,,Not Determined,,,,,,FALSE,CHEMBL2432461,Inhibition of adrenergic alpha1B receptor (unknown origin) by PDSP assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL2429832,1,Scientific Literature,Bioorg. Med. Chem.,2013,None,
CHEMBL2115086,,0,397.5,0,2.42,11,COc1cccc2c1CCC1CN(CCn3c(=O)[nH]c4ccsc4c3=O)CC21,Ki,'=',1.63,nM,8.79,,,UO_0000065,22.11,0.43,6.37,13.05,FALSE,CHEMBL649215,Binding affinity to hamster alpha-1B adrenergic receptor,B,BAO_0000357,single protein format,Cricetulus griseus,None,None,None,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1134501,1,Scientific Literature,J. Med. Chem.,2001,None,
CHEMBL1910140,,0,480.63,0,4.56,6c,COc1ccccc1N1CCN(CCN(C(=O)C23CCC(CF)(CC2)CC3)c2ccccn2)CC1,Ki,'=',110,nM,6.96,,,UO_0000065,14.48,0.27,2.4,14.23,FALSE,CHEMBL1913213,Displacement of [3H]prazosin from Alpha-1B receptor expressed in HEK293 EBNA cells by radioligand binding assay,B,BAO_0000219,cell-based format,None,None,None,HEK293-EBNA,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1909551,1,Scientific Literature,Eur. J. Med. Chem.,2011,CHEMBL3833702,
CHEMBL91405,,0,486.54,0,4.12,46,CC1=C(C(=O)NCCCN2CCC(c3ccc(F)cc3)CC2)[C@@H](c2ccc(F)c(F)c2)NC(=O)N1,Ki,'=',40,nM,7.4,,,UO_0000065,15.21,0.29,3.28,10.07,FALSE,CHEMBL651988,Evaluated for the ability to displace [125I]- HEAT from human cloned Alpha-1B adrenergic receptor stably expressed in LM cells.,B,BAO_0000219,cell-based format,None,None,None,LM,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1133772,1,Scientific Literature,J. Med. Chem.,2000,CHEMBL3307534,
CHEMBL89243,,0,588.75,2,6.39,8,CO/C(O)=C1\C(C)=NC(C)=C(C(=O)NCCCN2CCC(c3ccccc3)(c3ccccc3)CC2)C1c1ccc(C#N)cc1,Ki,'=',151.36,nM,6.82,,,UO_0000065,11.58,0.21,0.43,6.96,FALSE,CHEMBL645573,Binding affinity determined by displacement of [3H]prazosin from alpha-1B adrenergic receptor,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1131023,1,Scientific Literature,J. Med. Chem.,1998,None,
CHEMBL303988,,0,437.54,0,3.2,49,COc1cc2c(cc1OC)C(=O)N(CCN1C[C@@H]3CCc4c(OC)cccc4[C@@H]3C1)CN2,Ki,'=',95.2,nM,7.02,,,UO_0000065,16.05,0.3,3.82,11.1,FALSE,CHEMBL649215,Binding affinity to hamster alpha-1B adrenergic receptor,B,BAO_0000357,single protein format,Cricetulus griseus,None,None,None,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1134501,1,Scientific Literature,J. Med. Chem.,2001,None,
CHEMBL62033,,0,416.48,0,2.23,30,COc1cccc2c1CC[C@H]1CN(CCn3c(=O)[nH]c4cc(C#N)ccc4c3=O)C[C@@H]21,Ki,'=',1.56,nM,8.81,,,UO_0000065,21.15,0.39,6.58,9.67,FALSE,CHEMBL649215,Binding affinity to hamster alpha-1B adrenergic receptor,B,BAO_0000357,single protein format,Cricetulus griseus,None,None,None,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1134501,1,Scientific Literature,J. Med. Chem.,2001,None,
CHEMBL1078751,,0,451.57,1,5.64,rac-14,c1ccc(-c2cccc(OCCNCC3COC(c4ccccc4)(c4ccccc4)O3)c2)cc1,Ki,'>',1000,nM,,,,UO_0000065,,,,,FALSE,CHEMBL1100127,Displacement of [3H]prazosin from human Alpha-1B adrenergic receptor expressed in CHO cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1155434,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2010,CHEMBL3308072,
CHEMBL493283,,0,419.52,0,4.02,11,COc1ccccc1OCCNC[C@@H]1COC(c2ccccc2)(c2ccccc2)CO1,Ki,'=',74.13,nM,7.13,,,UO_0000065,17,0.31,3.11,14.57,FALSE,CHEMBL1034999,Displacement of [3H]prazosin from human cloned Alpha-1B adrenoceptor expressed in CHO cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1140161,1,Scientific Literature,J. Med. Chem.,2008,CHEMBL3308072,
CHEMBL1254828,,0,427.93,0,4.98,7,COc1cccc(Cl)c1OCCNCCOc1ccccc1OCc1ccccc1,Ki,'=',7.943,nM,8.1,,,UO_0000065,18.93,0.37,3.12,16.55,FALSE,CHEMBL1251067,Displacement of [3H]prazosin from human adrenergic Alpha-1B expressed in CHO cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1250525,1,Scientific Literature,Bioorg. Med. Chem.,2010,CHEMBL3308072,
CHEMBL419164,,0,415.52,0,2.5,2,CS(=O)(=O)Nc1ccc2c(c1)OC1(CCN(CCc3ccccn3)CC1)CC2=O,Ki,'>',2000,nM,,,,UO_0000065,,,,,FALSE,CHEMBL648108,Displacement of [125I]HEAT from human Alpha-1B adrenergic receptor expressed in LM cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,LM,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1132031,1,Scientific Literature,Bioorg. Med. Chem. Lett.,1999,CHEMBL3307534,
CHEMBL600053,,0,283.35,0,2.4,3,Fc1cccc(CNC23OC4C5C6CC(C7C6C4C72)C53)c1,Inhibition,'<',50,%,,,,UO_0000187,,,,,FALSE,CHEMBL1068464,Inhibition of Alpha1B adrenoceptor receptor at 10 uM,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1153172,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2010,None,
CHEMBL2432062,,0,309.41,0,2.99,14j,CN(Cc1ccc2c(c1)OCO2)[C@H]1C2C3CC4C5C3CC2C5C41,Inhibition,'<',50,%,,,,UO_0000187,,,,,FALSE,CHEMBL2432336,Inhibition of adrenergic alpha1B receptor (unknown origin) at 10 uM by PDSP assay relative to control,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL2429832,1,Scientific Literature,Bioorg. Med. Chem.,2013,None,
CHEMBL2030637,,0,207.29,0,2.85,44,Fc1cccc(CCCN2CCCC2)c1,Ki,,,,,,Not Determined,,,,,,FALSE,CHEMBL2033357,Inhibition of alpha1B adrenergic receptor,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL2029272,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2012,None,
CHEMBL291588,,0,392.46,0,1.76,24,COc1cccc2c1CC[C@H]1CN(CCn3c(=O)[nH]c4ccncc4c3=O)C[C@@H]21,Ki,'=',10.57,nM,7.98,,,UO_0000065,20.32,0.38,6.22,9.94,FALSE,CHEMBL649215,Binding affinity to hamster alpha-1B adrenergic receptor,B,BAO_0000357,single protein format,Cricetulus griseus,None,None,None,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1134501,1,Scientific Literature,J. Med. Chem.,2001,None,
CHEMBL125989,,0,620.67,1,3.78,7,Cc1c(-c2ccccc2)oc2c(C(=O)NCCCN3CCN(c4ccccc4OCc4no[n+]([O-])c4C#N)CC3)cccc2c1=O,Ki,'=',6.5,nM,8.19,,,UO_0000065,13.19,0.24,4.41,5.39,FALSE,CHEMBL651994,Inhibition of [3H]-prazosin binding to cloned human Alpha-1B adrenergic receptor in CHO cells (chinese hamster ovary cells),B,BAO_0000219,cell-based format,None,None,None,CHO,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1145061,1,Scientific Literature,J. Med. Chem.,2003,CHEMBL3308072,
CHEMBL292189,,0,440.47,0,2.31,16,Cc1[nH]c(=O)n(CCCN2CCN(c3ccccc3OCC(F)(F)F)CC2)c(=O)c1C,Ki,'=',15.85,nM,7.8,,,UO_0000065,17.71,0.34,5.49,11.05,FALSE,CHEMBL645574,Inhibition of [3H]prazosin binding to CHO-K1 whole cells expressing human cloned Alpha-1B adrenergic receptor,B,BAO_0000219,cell-based format,None,None,None,CHO-K1,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1136516,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2003,CHEMBL3307512,
CHEMBL3937911,,0,456.97,0,3.56,30,COc1ccccc1OCCN1CCC(CNS(=O)(=O)c2cc(Cl)ccc2F)CC1,EC50,'=',12.65,nM,7.9,,,UO_0000065,,,,,FALSE,CHEMBL3863085,Intrinsic activity at human alpha1B adrenergic receptor expressed in CHOK1 cells co-expressing aequorin assessed as inhibition of agonist induced calcium mobilization preincubated for 15 mins followed by agonist addition measured for 20 secs in presence of coelenterazine H by luminescence assay,A,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO-K1,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL3861996,1,Scientific Literature,Bioorg Med Chem,2016,CHEMBL3307512,
CHEMBL4172201,,0,293.37,0,2.42,7w,CN(CCNC(=O)c1ccc(C#N)cc1)Cc1ccccc1,Activity,'=',0,%,,,,UO_0000187,,,,,FALSE,CHEMBL4131928,Agonist activity at recombinant human alpha-1b adrenergic receptor assessed as induction of cAMP levels at 10 uM by aequorin reporter based assay relative to agonist,F,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL4130363,1,Scientific Literature,Eur J Med Chem,2017,None,
CHEMBL29410,,0,506.09,2,5.35,3,COc1ccc(NS(=O)(=O)c2sc3ccc(Cl)cc3c2C)cc1N1CCN2CCCCC2C1,Ki,'=',1995.26,nM,5.7,,,UO_0000065,11.26,0.24,0.35,9.21,FALSE,CHEMBL643904,The compound was tested for the binding affinity towards Alpha-1B adrenergic receptor,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1135108,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2002,None,
CHEMBL836,TAMSULOSIN,4,408.52,0,2.34,tamsulosin,CCOc1ccccc1OCCN[C@H](C)Cc1ccc(OC)c(S(N)(=O)=O)c1,Ki,'=',100,nM,7,,,UO_0000065,17.14,0.34,4.66,7.01,FALSE,CHEMBL645567,Binding affinity was tested on human Alpha-1B adrenergic receptor,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1129998,1,Scientific Literature,J. Med. Chem.,1997,None,
CHEMBL435576,,0,441.62,0,4.76,14,Cc1ccc(C(C(=O)NCCCN2CCN(c3ccccc3)CC2)c2ccc(C)cc2)cc1,Ki,'=',23,nM,7.64,,,UO_0000065,17.3,0.32,2.88,21.47,FALSE,CHEMBL649157,Inhibition of binding of [125I]HEAT to cloned human alpha-1B adrenergic receptor.,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1133241,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2000,None,
CHEMBL72147,,0,306.17,0,2.07,7,Cc1cnc2c(Br)c(NC3=NCCN3)ccc2n1,Ki,'<',100000,nM,,,,UO_0000065,,,,,FALSE,CHEMBL647202,Binding affinity for human Alpha-1B adrenergic receptor from cultured LM(tk-) cells using [3H]prazosin ,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1128892,1,Scientific Literature,Bioorg. Med. Chem. Lett.,1995,None,
CHEMBL390192,,0,561.07,2,5.76,13-trans,COc1ccc(Cl)cc1S(=O)(=O)N[C@H]1CC[C@H](N2CCC(c3ccccc3OCC(F)(F)F)CC2)CC1,Ki,'=',703,nM,6.15,,,UO_0000065,10.97,0.23,0.39,9.07,FALSE,CHEMBL889236,Binding affinity to human cloned adrenergic alpha-1b receptor,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1145372,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2007,None,
CHEMBL99559,,0,275.35,0,2.06,3,CCCCOC(=O)c1ccccc1NCC1=NCCN1,EC50,'=',25.12,nM,7.6,,,UO_0000065,,,,,FALSE,CHEMBL858092,Potency against cloned human alpha 1B adrenoceptor expressed in rat-1 fibroblasts.,F,BAO_0000019,assay format,None,None,None,None,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1134725,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2001,None,
CHEMBL3739932,,0,465.5,0,3.97,(S)-1,O=C(O)C(=O)O.c1ccc(OCCNC[C@H]2COC(c3ccccc3)(c3ccccc3)O2)cc1,Ki,'=',114.82,nM,6.94,,,UO_0000065,18.48,0.34,2.97,17.47,FALSE,CHEMBL3744511,Displacement of [3H]prazosin from human recombinant alpha1B adrenoceptor expressed in CHO cell membrane after 30 mins by liquid scintillation counting,B,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL3739306,1,Scientific Literature,MedChemComm,2015,CHEMBL3308072,
CHEMBL275386,,0,283.38,0,2.37,9m,CCCn1nccc1-c1ccccc1NCC1=NCCN1,Max response,'=',0,%,,,,UO_0000187,,,,,FALSE,CHEMBL652786,Maximal response assayed via calcium mobilization to human alpha-1B adrenergic receptor compared to percent of the 40 mM phenylephrine response.,F,BAO_0000019,assay format,None,None,None,None,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1145766,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2003,None,
CHEMBL72958,NS-49,0,248.28,0,0.19,44,CS(=O)(=O)Nc1ccc(F)c([C@@H](O)CN)c1,Max,,,,,,Not Determined,,,,,,FALSE,CHEMBL652789,Efficacy as % of the maximal effect observed for nonselective agonist phenylephrine in rat-1 fibroblasts expressing human Alpha-1B adrenergic receptor; ND is No Data,F,BAO_0000019,assay format,None,None,None,None,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1135421,1,Scientific Literature,J. Med. Chem.,2002,None,
CHEMBL71479,,0,267.35,0,0.81,28,Cc1ccc(S(C)(=O)=O)c(NCC2=NCCN2)c1,EC50,'=',141.25,nM,6.85,,,UO_0000065,,,,,FALSE,CHEMBL651231,Agonist potency at Alpha-1B adrenergic receptor expressed in rat-1 fibroblasts,F,BAO_0000019,assay format,None,None,None,None,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1135421,1,Scientific Literature,J. Med. Chem.,2002,None,
CHEMBL291951,,0,473.47,0,1.9,21,CN(C)c1c[nH]c(=O)n(CCCN2CCN(c3ccc(F)cc3OCC(F)(F)F)CC2)c1=O,Ki,'=',199.53,nM,6.7,,,UO_0000065,14.15,0.28,4.8,9.08,FALSE,CHEMBL645574,Inhibition of [3H]prazosin binding to CHO-K1 whole cells expressing human cloned Alpha-1B adrenergic receptor,B,BAO_0000219,cell-based format,None,None,None,CHO-K1,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1136516,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2003,CHEMBL3307512,
CHEMBL329272,,0,287.36,0,2.2,7,O=C(OC1CCCC1)c1ccccc1NCC1=NCCN1,EC50,'<',5011.87,nM,,,,UO_0000065,,,,,FALSE,CHEMBL858092,Potency against cloned human alpha 1B adrenoceptor expressed in rat-1 fibroblasts.,F,BAO_0000019,assay format,None,None,None,None,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1134725,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2001,None,
CHEMBL421011,,0,274.37,0,1.58,23,CCN(CC)C(=O)c1ccccc1NCC1=NCCN1,EC50,'=',1995.26,nM,5.7,,,UO_0000065,,,,,TRUE,CHEMBL858092,Potency against cloned human alpha 1B adrenoceptor expressed in rat-1 fibroblasts.,F,BAO_0000019,assay format,None,None,None,None,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1134725,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2001,None,
CHEMBL24777,,0,444.43,0,2.14,12,Cc1c[nH]c(=O)n(CCCN2CCN(c3ccc(F)cc3OCC(F)(F)F)CC2)c1=O,Ki,'=',79.43,nM,7.1,,,UO_0000065,15.98,0.31,4.96,10.06,FALSE,CHEMBL645574,Inhibition of [3H]prazosin binding to CHO-K1 whole cells expressing human cloned Alpha-1B adrenergic receptor,B,BAO_0000219,cell-based format,None,None,None,CHO-K1,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1136516,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2003,CHEMBL3307512,
CHEMBL292403,,0,426.44,0,2,39,Cc1cn(CCCN2CCN(c3ccccc3OCC(F)(F)F)CC2)c(=O)[nH]c1=O,Ki,'=',100,nM,7,,,UO_0000065,16.41,0.32,5,9.92,FALSE,CHEMBL645574,Inhibition of [3H]prazosin binding to CHO-K1 whole cells expressing human cloned Alpha-1B adrenergic receptor,B,BAO_0000219,cell-based format,None,None,None,CHO-K1,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1136516,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2003,CHEMBL3307512,
CHEMBL142864,,0,242.28,0,1.46,23,c1ccc(-c2ncc[nH]2)c(OCC2=NCCN2)c1,EC50,'<',100000,nM,,,,UO_0000065,,,,,FALSE,CHEMBL651230,Activation of recombinant human adrenergic,,,,,,,,,,,,,,,,,,,,,,
CHEMBL228496,,0,562.6,2,5.7,15-cis,O=S(=O)(N[C@H]1CC[C@@H](N2CCC(c3ccccc3OCC(F)(F)F)CC2)CC1)c1cccc(OC(F)F)c1,Ki,'=',261,nM,6.58,,,UO_0000065,11.7,0.24,0.88,9.7,FALSE,CHEMBL889236,Binding affinity to human cloned adrenergic alpha-1b receptor,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1145372,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2007,None,
CHEMBL228389,,0,556.65,2,5.11,11-trans,COc1ccc(S(=O)(=O)N[C@H]2CC[C@H](N3CCC(c4ccccc4OCC(F)(F)F)CC3)CC2)cc1OC,Ki,'=',368,nM,6.43,,,UO_0000065,11.56,0.23,1.32,8.35,TRUE,CHEMBL889236,Binding affinity to human cloned adrenergic alpha-1b receptor,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1145372,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2007,None,
CHEMBL154023,,0,256.31,0,2.06,7,Cc1ncoc1-c1ccccc1NCC1=NCCN1,IC50,'=',323.59,nM,6.49,,,UO_0000065,25.32,0.47,4.43,10.39,FALSE,CHEMBL651236,In vitro binding affinity against human Alpha-1B adrenergic receptor expressed in rat-1 fibroblasts,B,BAO_0000019,assay format,None,None,None,None,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1135065,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2002,None,
CHEMBL70740,,0,279.37,0,0.82,40,O=S1(=O)CCCc2cccc(NCC3=NCCN3)c21,Max,,,,,,Not Determined,,,,,,FALSE,CHEMBL652789,Efficacy as % of the maximal effect observed for nonselective agonist phenylephrine in rat-1 fibroblasts expressing human Alpha-1B adrenergic receptor; ND is No Data,F,BAO_0000019,assay format,None,None,None,None,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1135421,1,Scientific Literature,J. Med. Chem.,2002,None,
CHEMBL299691,,0,373.47,0,2.66,6,O=C1CC2(CCCC2)CC(=O)N1CCN1CCN(c2ccccc2F)CC1,Ki,'=',67,nM,7.17,,,UO_0000065,19.21,0.36,4.51,16.36,FALSE,CHEMBL839941,Binding affinity for human Alpha-1B adrenergic receptor,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1143615,1,Scientific Literature,J. Med. Chem.,2005,None,
CHEMBL13647,BMY-7378,0,385.51,0,2.53,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL96467,,0,475.51,0,4.97,1 (+)-trans,C[C@@H]1OC(=O)N(C(=O)NCCCN2CCC(c3ccc(F)cc3)CC2)[C@H]1c1ccc(F)c(F)c1,Ki,'=',119,nM,6.92,,,UO_0000065,14.56,0.28,1.95,11.19,FALSE,CHEMBL651995,Tested for binding affinity against recombinant human Alpha-1B adrenergic receptor using [125I]HEAT in competition binding assay,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1132838,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2000,None,
CHEMBL707,DOXAZOSIN,4,451.48,0,1.72,Doxazosin,COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC,Ki,'=',0.8128,nM,9.09,,,UO_0000065,20.13,0.38,7.37,8.1,TRUE,CHEMBL868697,Displacement of [3H]prazosin from cloned human ADRA1B expressed in CHO cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1141864,1,Scientific Literature,J. Med. Chem.,2005,CHEMBL3308072,
CHEMBL358595,,0,592.65,1,3.12,30,CCC1=C(C(N)=O)C(c2ccc([N+](=O)[O-])cc2)N(C(=O)NCCCN2CCC(C(=O)OC)(c3ccccc3)CC2)C(=O)N1,Ki,'=',160,nM,6.8,,,UO_0000065,11.47,0.22,3.68,3.83,FALSE,CHEMBL651989,In vitro binding affinity against Alpha-1B adrenergic receptor of human liver microsomes.,B,BAO_0000221,tissue-based format,None,CHEMBL3559723,Liver,None,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1132476,1,Scientific Literature,J. Med. Chem.,1999,None,
CHEMBL29591,,0,477.61,0,3.41,3,COc1cc2nc(N(C)CCSSCCN(C)C(=O)c3ccco3)nc(N)c2cc1OC,Ki,'=',1.072,nM,8.97,,,UO_0000065,18.78,0.38,5.56,8.39,FALSE,CHEMBL645575,Binding affinity at human cloned Alpha-1B adrenergic receptor in chinese hamster ovary cells by [3H]prazosin displacement.,B,BAO_0000219,cell-based format,None,None,None,CHO,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1131296,1,Scientific Literature,J. Med. Chem.,1998,CHEMBL3308072,
CHEMBL3895815,,0,456.97,0,3.56,29,COc1ccccc1OCCN1CCC(CNS(=O)(=O)c2cccc(Cl)c2F)CC1,EC50,'=',14.15,nM,7.85,,,UO_0000065,,,,,FALSE,CHEMBL3863085,Intrinsic activity at human alpha1B adrenergic receptor expressed in CHOK1 cells co-expressing aequorin assessed as inhibition of agonist induced calcium mobilization preincubated for 15 mins followed by agonist addition measured for 20 secs in presence of coelenterazine H by luminescence assay,A,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO-K1,None,,,,CHEMBL232,Alpha-1b adrenergic receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL3861996,1,Scientific Literature,Bioorg Med Chem,2016,CHEMBL3307512,
