Ambit_InchiKey,Original_Entry_ID,Entrez_ID,Activity_Flag,pXC50,DB,Original_Assay_ID,Tax_ID,Gene_Symbol,Ortholog_Group,SMILES
LBMXVPSFRAYJDL-UHFFFAOYNA-N,CHEMBL1796028,147,A,5.13,chembl20,753882,9606,ADRA1B,93,N1(C(CC(CC1=O)C=2C=CC=CC2)=O)CCN3CCN(CC3)C=4C(=CC=CC4)OC
KEQNBNIXVZSUDE-QWOVJGMINA-N,CHEMBL12501,147,A,5,chembl20,34332,9606,ADRA1B,93,N1(C(=O)CCCC1)CC(=O)NCCCN2CCN(CC2)C3=C(OC)C=CC=C3
LZJRNLRASBVRRX-ZDUSSCGKNA-N,CHEMBL388342,24173,A,6.5,chembl20,528004,10116,ADRA1B,93,C12=C3C=4C(=CC(O)=C(C4)OC)C[C@@H]1N(CCC2=CC(=C3OC)O)C
LYVYZEAKTYROJI-UHFFFAOYNA-N,52942152,147,A,8.30016,pubchem,515614,9606,ADRA1B,93,O(CCNCCOC1=C(N(=O)=O)C=CC=C1OC)C=2C(OCC3=CC=CC=C3)=CC=CC2
MMECQTDYKMGZFE-UHFFFAOYNA-N,53328503,147,A,6.95001,pubchem,603872,9606,ADRA1B,93,ClC1=CC=C(C2CC(=O)N(CCN3CCN(CC3)C=4C(OC)=CC=CC4)C(=O)C2)C=C1
MBUVEWMHONZEQD-UHFFFAOYNA-N,CHEMBL639,147,A,7.3,chembl20,848015,9606,ADRA1B,93,N1(N=C(CC=2C=CC(Cl)=CC2)C=3C(C1=O)=CC=CC3)C4CCN(C)CCC4
LVTVPXIZHDLZMO-UHFFFAOYNA-N,53328311,147,A,6.95001,pubchem,603872,9606,ADRA1B,93,O=C1N(CCCN2CCN(CC2)C=3C(OC)=CC=CC3)C(=O)CC(C1)C4=CC=CC=C4
NVQUZQNWBJQXMB-UHFFFAOYNA-N,57393526,147,A,8.17005,pubchem,643006,9606,ADRA1B,93,O1C(CN2CCN(CC2)C=3C(OC)=CC=CC3)COC1(C4=CC=CC=C4)C5=CC=CC=C5
NTHBZKNEJJJYGF-UHFFFAOYNA-N,CHEMBL1079065,147,A,6.86,chembl20,615773,9606,ADRA1B,93,O1C(OCC1CNCCOC2=CC(=C(C=C2)OC)OC)(C3=CC=CC=C3)C=4C=CC=CC4
NJIMRYVDUQIHPS-UHFFFAOYNA-N,CHEMBL12202,147,A,5.65,chembl20,34332,9606,ADRA1B,93,N1(C(=O)CCCC1)CC(=O)OCCN2CCN(CC2)C3=C(OC(C)C)C=CC=C3
OHZRADJFNIULBZ-UHFFFAOYNA-N,CHEMBL440118,147,A,7.43,chembl20,34190,9606,ADRA1B,93,N1(C(CC2(CC1=O)CCCC2)=O)CCN3CCC(C=4C(=CC=C(C4)Cl)Cl)CC3
OCLXFGLODKGRRE-UHFFFAOYNA-N,CHEMBL1796038,147,A,5,chembl20,753882,9606,ADRA1B,93,N1(C(CC(CC1=O)C=2C=CC(=CC2)Cl)=O)CCN3CCN(CC3)C=4C(=CC=CC4)Cl
ODHPQKBPZNUARX-UHFFFAOYNA-N,CHEMBL286003,24173,A,7.36,chembl20,32279,10116,ADRA1B,93,C1(OCC(O1)CNCCOC2=C(OC)C=CC=C2)(C=3C=CC=CC3)C4=CC=CC=C4
ODTONMYKXOZWKB-UHFFFAOYNA-N,53328312,147,A,6.95001,pubchem,603872,9606,ADRA1B,93,ClC=1C(N2CCN(CC2)CCCN3C(=O)CC(CC3=O)C4=CC=CC=C4)=CC=CC1
OGHNVEJMJSYVRP-UHFFFAOYNA-N,CHEMBL723,24173,A,8.71,chembl20,774697,10116,ADRA1B,93,N1C2=C(C(OCC(O)CNCCOC3=C(OC)C=CC=C3)=CC=C2)C4=C1C=CC=C4
OSJJYEUEJRVVOD-TWSYTRIPNA-N,CHEMBL1909072,24173,A,8.85,chembl20,774697,10116,ADRA1B,93,C1=CC=CC=2SC=3C(N(C12)CCCN4CCC(CC4)C(N)=O)=CC(=CC3)Cl
OUEZWZJJIKBFFV-MRXNPFEDNA-N,CHEMBL2146809,147,A,7.3,chembl20,848015,9606,ADRA1B,93,C=1C=NC=2C(=NN(C[C@H]3CCCN3C)C(C2C1)=O)CC4=CC=C(C=C4)Cl
OPLHOPJAFJJLPX-HNNXBMFYNA-N,CHEMBL320397,147,A,6.44,chembl20,34333,9606,ADRA1B,93,N12[C@H](C=3C=C(OC)C(=CC3CC1)O)CC=4C(C2)=C(C(=CC4)O)OC
MIFOAIQVLLADSX-UHFFFAOYNA-N,CHEMBL59149,147,A,6.71,chembl20,34190,9606,ADRA1B,93,N1(C(CC2(CC1=O)CCCC2)=O)CCN3CCN(CC3)C=4C(=CC=C(C4)C)Cl
MKRMGDJUMMLQKR-UHFFFAOYNA-N,72205222,24173,A,6.42022,pubchem,763652,10116,ADRA1B,93,ClC1=CC=C(N2N=CC(CCCCCN3CCN(CC3)C4=CC=CC=C4)=C2)C=C1
HESSOZXPIKFUEI-UYBDAZJANA-N,13911290,147,A,8.91364,pubchem,37206,9606,ADRA1B,93,S1C=2NC(=O)N(CCN3CCN(CC3)C=4C(OC)=CC=CC4)C(=O)C2C=C1
RBDSAWBTGMXGTK-UHFFFAOYNA-N,46882034,147,A,7.70006,pubchem,464910,9606,ADRA1B,93,O1C(OCC1CNCCOC=2C(OC(C)C)=CC=CC2)(C3=CC=CC=C3)C4=CC=CC=C4
PLOFLRBUVJOFRR-UHFFFAOYNA-N,CHEMBL1491,147,A,5.1,chembl20,33012,9606,ADRA1B,93,C1(C(C(C(=COCCN)N=C1C)C(=O)OCC)C2=C(Cl)C=CC=C2)C(=O)OC
PNISAWOKGCKONH-GRLYIYQMNA-N,49781008,147,A,6.5,pubchem,516906,9606,ADRA1B,93,O([C@@H]1[C@]2([C@H](C2)C=3C1=CC=CC3)C=4NC=NC4)C(C)C
QCFZUTYIUYQTPW-JOCHJYFZNA-N,44582675,147,A,6.30103,pubchem,415474,9606,ADRA1B,93,FC1=CC=C(CCN2CCC(CC2)[C@@H](O)C3=C(OC)C(OCCF)=CC=C3)C=C1
QCFZUTYIUYQTPW-UHFFFAOYNA-N,CHEMBL402143,147,A,6.49,chembl20,563503,9606,ADRA1B,93,C=1(C(OC)=C(OCCF)C=CC1)C(C2CCN(CC2)CCC3=CC=C(C=C3)F)O
PLDUPXSUYLZYBN-UHFFFAOYNA-N,CHEMBL726,24173,A,7.72,chembl20,774697,10116,ADRA1B,93,N1(C=2C(SC3=C1C=CC=C3)=CC=C(C(F)(F)F)C2)CCCN4CCN(CCO)CC4
QLQDGQGXEOZRKZ-UHFFFAOYNA-N,CHEMBL1946782,147,A,6,chembl20,800454,9606,ADRA1B,93,C1C(C(C(C1)CNCCOC2=CC=CC=C2OC)=O)(C=3C=CC=CC3)C=4C=CC=CC4
QJFWBEXGRNKZIY-UHFFFAOYNA-N,CHEMBL2164350,147,A,5.98,chembl20,859962,9606,ADRA1B,93,C1(CCCCC1)C(=O)N(C2=CC=CC=N2)CCN3CCN(CC3)C=4C=CC=CC4
RPADCEVSPXUEKK-UHFFFAOYNA-N,CHEMBL300152,147,A,7.88,chembl20,34190,9606,ADRA1B,93,N1(C(CC2(CC1=O)CCCC2)=O)C(CN3CCN(CC3)C=4C=C(Cl)C=CC4Cl)C
RZBPSXCZVILRNE-MRXNPFEDNA-N,71449250,147,A,6.90001,pubchem,687271,9606,ADRA1B,93,ClC1=CC=C(CC2=NN(C[C@@H]3N(CCC3)C)C(=O)C=4C2=CC=NC4)C=C1
QQNWVORTUJAROO-KRWDZBQONA-N,CHEMBL383938,24173,A,8.35,chembl20,412949,10116,ADRA1B,93,C=1C=C2O[C@H](COC2=CC1)CNCCOC3=C(C=CC4=C3CCCC4)OC
QZFPTSHPKIDPDG-XLIONFOSNA-N,CHEMBL493041,147,A,6.52,chembl20,539781,9606,ADRA1B,93,C1[C@H](O[C@H](CNCCOC2=C(C=CC=C2)OC)CO1)C3=CC=CC=C3
VHHWNRROUCRXSK-GOSISDBHNA-N,CHEMBL1767152,147,A,6.7,chembl20,741666,9606,ADRA1B,93,C(CC1=CC=CC=C1)C2=NN(C[C@H]3CCCN3C)C(C=4C2=CC=CC4)=O
SXNOWQCFHNZUIX-MRXNPFEDNA-N,CHEMBL2146484,147,A,6.8,chembl20,848015,9606,ADRA1B,93,C=1C=CC=2C(=NN(C[C@H]3CCCN3C)C(C2N1)=O)CC=4C=CC(=CC4)Cl
STBLFBLDGSWOEM-UHFFFAOYNA-N,CHEMBL2414355,24173,A,6.4,chembl20,975872,10116,ADRA1B,93,N1(CCN(CC1)C2=CC=CC=C2)CCCOCC3=CN(N=C3)C4=CC=C(C=C4)Cl
SJDOMIRMMUGQQK-UHFFFAOYNA-N,CHEMBL8618,147,A,9.02,chembl20,441868,9606,ADRA1B,93,C1=CC=C2C(N(C(C2=C1)=O)CCCCN3CCN(CC3)C4=C(C=CC=C4)OC)=O
VYGJNGJRTPHPPA-UHFFFAOYNA-N,49781232,24173,A,9.82391,pubchem,517798,10116,ADRA1B,93,S1C2=C(C(N3CCN(CC3)C)CC=4C1=CC=CC4)C=C(C=C2)C5=NN(N=N5)C
UJMUXUJLIHKBEA-MRXNPFEDNA-N,CHEMBL1767138,147,A,6.4,chembl20,741666,9606,ADRA1B,93,C1=CC(CC=2C=3C(=CC=CC3)C(=O)N(C[C@H]4CCCN4C)N2)=CC=C1O
UIXFLDNWOWXYNJ-UHFFFAOYNA-N,18738382,147,A,5.27442,pubchem,37202,9606,ADRA1B,93,O(C=1C(N2CCN(CC2)C=CCC(=O)CN3CCCCC3=O)=CC=CC1)C(C)C
UGSSYCALUUTVMW-UHFFFAOYNA-N,CHEMBL85,147,A,8,chembl20,1329323,9606,ADRA1B,93,C1(C(N2CCCC=C2N=C1C)=O)CCN3CCC(C4=NOC=5C4=CC=C(F)C5)CC3
UGSSYCALUUTVMW-UHFFFAOYNA-N,CHEMBL85,24173,A,8.97,chembl20,774697,10116,ADRA1B,93,C1(C(N2CCCC=C2N=C1C)=O)CCN3CCC(C4=NOC=5C4=CC=C(F)C5)CC3
UFFHNEZNXKJHFB-PKSOQXRJNA-N,CHEMBL346389,24173,A,6.1,chembl20,34642,10116,ADRA1B,93,N1C2=C(C=C(C=C2)CN3CCN(CC3)C4=CC=C(C=C4)Cl)OCC1=O
SYPZJTHVWQUCJS-UHFFFAOYNA-N,CHEMBL55319,147,A,7.87,chembl20,34190,9606,ADRA1B,93,N1(C(CC2(CC1=O)CCCC2)=O)CCCN3CCN(CC3)C=4C=C(Cl)C=CC4Cl
UWNHCVXSZHPSOC-XLIONFOSNA-N,CHEMBL492834,147,A,6,chembl20,539781,9606,ADRA1B,93,[C@H]1(CO[C@H](CNCCOC=2C(=CC=CC2OC)OC)CO1)C3=CC=CC=C3
UWNHCVXSZHPSOC-YLJYHZDGNA-N,CHEMBL493661,147,A,6,chembl20,539781,9606,ADRA1B,93,[C@@H]1(CO[C@H](CNCCOC=2C(=CC=CC2OC)OC)CO1)C3=CC=CC=C3
XERNBNISTSVJGK-UHFFFAOYNA-N,10047430,147,A,5.37151,pubchem,37217,9606,ADRA1B,93,S1C(=NC(CN2CCCC2=O)=C1)CN3CCN(CC3)C=4C(OC(C)C)=CC=CC4
XRKSDOUDYWUZPR-UHFFFAOYNA-N,52949448,147,A,8.17005,pubchem,510389,9606,ADRA1B,93,O1C(COC1CN2CCN(CC2)C=3C(OC)=CC=CC3)(C4=CC=CC=C4)C5=CC=CC=C5
XRTCZMPGERZCKE-UHFFFAOYNA-N,CHEMBL1087942,147,A,7.12,chembl20,615773,9606,ADRA1B,93,O1C(OCC1CNCCOC2=C(C=CC=C2OC)OC)(C3=CC=CC=C3)C=4C=CC=CC4
YEHCICAEULNIGD-MZMPZRCHNA-N,CHEMBL531,24173,A,5.84,chembl20,774697,10116,ADRA1B,93,C=12C=3C(=CC=CC3NC1)[C@@H]4[C@@H](C2)N(C[C@H](CSC)C4)CCC
WNMJYKCGWZFFKR-YVLNATIJNA-N,CHEMBL709,24173,A,8.31,chembl20,32284,10116,ADRA1B,93,N=1C(=NC=2C(C1N)=CC(OC)=C(C2)OC)N(CCCNC(C3OCCC3)=O)C
WESSELXZMWZPLT-SDRQFZCRNA-N,CHEMBL137598,147,A,9.34,chembl20,32304,9606,ADRA1B,93,C=1(N=C(N)C=2C(N1)=CC(=C(OC)C2)OC)N3CCN(C=4OC=CC4)CC3
WOTQTCOGYGHNIU-UHFFFAOYNA-N,CHEMBL60583,147,A,8.3,chembl20,34190,9606,ADRA1B,93,N1(C(CC2(CC1=O)CCCC2)=O)CCN3CCN(CC3)C=4C(OC(C)C)=CC=CC4
WYRUGBCTQBZIHO-QGZVFWFLNA-N,CHEMBL1767136,147,A,8,chembl20,848015,9606,ADRA1B,93,C=1C=C(CC=2C=3C(=CC=CC3)C(=O)N(C[C@H]4CCCN4C)N2)C=CC1Cl
YNNUSGIPVFPVBX-NHCUHLMSNA-N,CHEMBL1626,24173,A,7.39,chembl20,774697,10116,ADRA1B,93,[C@@](C=1C=CC(=CC1)Cl)(C)(C=2C=CC=CC2)OCC[C@@H]3N(CCC3)C
YUOLKUGHNOWKJF-UHFFFAOYNA-N,CHEMBL2164354,147,A,6.53,chembl20,859962,9606,ADRA1B,93,C1(CCCCC1)C(=O)N(C2=CC=CC=N2)CCN3CC=C(CC3)C=4C=CC=CC4
XUSSJIRIJFBRBH-UHFFFAOYNA-N,CHEMBL55655,147,A,6.09,chembl20,34190,9606,ADRA1B,93,N1(C(CC2(CC1=O)CCCC2)=O)CCN3CCN(C4=CC(N(=O)=O)=CC=C4Cl)CC3
XUENDPHUBRBQPK-UHFFFAOYNA-N,CHEMBL1254660,147,A,7.8,chembl20,663468,9606,ADRA1B,93,C=1C=CC=CC1COC2=CC=CC=C2OCCNCC=S(C3=C(C=CC=C3OC)OC)O
ZRVFDQMKWPDXJY-UHFFFAOYNA-N,CHEMBL420060,147,A,7.04,chembl20,34466,9606,ADRA1B,93,N1(C(N(C)C(C(C1=NCCCN2CCN(CC2)C=3C(OC)=CC=CC3)C)=O)=O)C
ZNFGZJGKELODLV-UHFFFAOYNA-N,CHEMBL2112779,147,A,7.36,chembl20,34339,9606,ADRA1B,93,N1(C2=C(OC)C=CC=C2)CCN(CC1)C3CCC(C=4C=C(OC)C=CC4)CC3
ZQKYJYUHIBOEHV-UHFFFAOYNA-N,10364994,147,A,9.27003,pubchem,515614,9606,ADRA1B,93,O(CCNCCOC1=C(OC)C=CC=C1OC)C=2C(OCC3=CC=CC=C3)=CC=CC2
ZAKQYSXDZKMEJJ-LQFNOIFHNA-N,CHEMBL302021,24173,A,8.26,chembl20,34340,10116,ADRA1B,93,N12C(=NC(C1)CN3CCN(CC3)C=4C(OC)=CC=CC4)C=5C=CC=CC5NC2=O
ZCYQPTKLMLTYQD-DEOSSOPVNA-N,71521480,147,A,6.77001,pubchem,724006,9606,ADRA1B,93,O1C(COC[C@@H]1CNCCOC2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4
ZCYQPTKLMLTYQD-XMMPIXPANA-N,25181489,147,A,7.28001,pubchem,724006,9606,ADRA1B,93,O1C(COC[C@H]1CNCCOC2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4
AWTXQJWVIKYPGZ-UHFFFAOYNA-N,CHEMBL311479,147,A,8.7,chembl20,216132,9606,ADRA1B,93,N=1N(C(=O)C(CC1C2=CC=CC=C2)=NCCN3CCN(CC3)C4=C(OC)C=CC=C4)C
WQRVLZPCOXHNAI-UHFFFAOYNA-N,CHEMBL522708,147,A,6.8,chembl20,556327,9606,ADRA1B,93,N=1C=2C=CC=C(OCCN3CCC(CC3)CC4=CC=CC(=C4)N5S(CCC5)(=O)=O)C2C=CC1C
BXGCCZDRUAOMRC-UHFFFAOYNA-N,44431545,147,A,6.95468,pubchem,296251,9606,ADRA1B,93,S(=O)(=O)(NC1CCC(N2CCN(CC2)C=3C(OC(C)C)=CC=CC3)CC1)C4=CC=CC=C4
CEUORZQYGODEFX-HXTKINSTNA-N,CHEMBL1112,147,A,7,chembl20,1329323,9606,ADRA1B,93,C1(=CC=CC(=C1Cl)N2CCN(CCCCOC=3C=CC4=C(C3)NC(CC4)=O)CC2)Cl
CJMVJEMHSLDPMO-QGZVFWFLNA-N,CHEMBL1767145,147,A,6.4,chembl20,741666,9606,ADRA1B,93,C=1(C=C(CC2=NN(C[C@H]3CCCN3C)C(=O)C=4C2=CC=CC4)C=CC1)F
CHBCBIUTTBPRQD-UHFFFAOYNA-N,CHEMBL78676,147,A,8.7,chembl20,216132,9606,ADRA1B,93,N=1N(C(=O)C(CC1C=2C=CC=CC2)=NCCCN3CCN(CC3)C=4C=C(Cl)C=CC4OC)C
DEXRYWBZRATHBC-SFHVURJKNA-N,CHEMBL215188,24173,A,5.61,chembl20,412949,10116,ADRA1B,93,C=1C=2C(C=C3O[C@H](COC31)CNCCOC4=C(C=CC=C4OC)OC)=CC=CC2
DCGYGKIBQOAKTB-QGZVFWFLNA-N,52937630,147,A,7.10002,pubchem,591515,9606,ADRA1B,93,FC1=CC=C(CC2=NN(C[C@@H]3N(CCC3)C)C(=O)C4=C2C=CC=C4)C=C1
DCSUBABJRXZOMT-LELJVTLKNA-N,CHEMBL1729,24173,A,8.06,chembl20,774697,10116,ADRA1B,93,COC1CN(CCCOC2=CC=C(F)C=C2)CCC1NC(=O)C=3C=C(Cl)C(N)=CC3OC
CZRJZZTYRIMAJY-FGZAEZAUNA-N,28864,24173,A,6.91721,pubchem,625199,10116,ADRA1B,93,O=C(N[C@@H]1CN(C2=C(C3=C4C(C2)=CNC4=CC=C3)C1)C)N(CC)CC
CXQUOFVDYCOSEZ-UHFFFAOYNA-N,CHEMBL210578,147,A,7.37,chembl20,361008,9606,ADRA1B,93,C12N(CCCC(C3=CC=C(C=C3)F)=O)C(CC(O)(C4=CC=C(C=C4)Cl)C1)CC2
AKYWUMKVNYAANP-UHFFFAOYNA-N,49781891,24173,A,9.82391,pubchem,517798,10116,ADRA1B,93,S1C2=C(C(N3CCN(CC3)C)CC=4C1=CC=CC4)C=C(C=C2)CC=5N(N=NN5)C
ANGUXJDGJCHGOG-HXTKINSTNA-N,CHEMBL1631540,24173,A,7.6,chembl20,689745,10116,ADRA1B,93,C=1C=CC2=C(C1N3CCN(CC3)CCC4=CC(=CC=C4)N5C(=O)NCC5)C=CC(=N2)C
ANZIISNSHPKVRV-TWSYTRIPNA-N,CHEMBL324090,147,A,10.1,chembl20,34465,9606,ADRA1B,93,C=1(N=C2C=C(OC)C(=CC2=C(C1)N)OC)N3CC=4C=C(OC)C(=CC4CC3)OC
DRHKJLXJIQTDTD-XYFPIJJGNA-N,129211,24173,A,9.69037,pubchem,35155,10116,ADRA1B,93,S(=O)(=O)(N)C=1C=C(C[C@H](NCCOC=2C(OCC)=CC=CC2)C)C=CC1OC
DRHKJLXJIQTDTD-XYFPIJJGNA-N,CHEMBL836,147,A,9.21,chembl20,34330,9606,ADRA1B,93,S(C1=C(C=CC(=C1)C[C@H](NCCOC2=C(OCC)C=CC=C2)C)OC)(=O)(=O)N
DSZAPUPSEUYRJU-HSZRJFAPNA-N,44568917,147,A,7.13001,pubchem,391752,9606,ADRA1B,93,O1C(CO[C@@H](C1)CNCCOC=2C(OC)=CC=CC2)(C3=CC=CC=C3)C4=CC=CC=C4
DSMKEQAYQKRDDL-UHFFFAOYNA-N,CHEMBL421324,147,A,5.35,chembl20,34342,9606,ADRA1B,93,N1(C(=O)CCCC1)CC2=CC(CN3CCN(CC3)C4=C(OC(C)C)C=CC=C4)=NO2
DNAVFAFMJIQKJV-PXDATVDWNA-N,CHEMBL1946785,147,A,6.54,chembl20,800454,9606,ADRA1B,93,C1C([C@@H]([C@H](C1)CNCCOC2=CC=CC=C2)O)(C=3C=CC=CC3)C=4C=CC=CC4
DNAVFAFMJIQKJV-SQJMNOBHNA-N,CHEMBL1946784,147,A,6,chembl20,800454,9606,ADRA1B,93,C1C([C@@H]([C@@H](C1)CNCCOC2=CC=CC=C2)O)(C=3C=CC=CC3)C=4C=CC=CC4
GFOPLENUCATIPC-OAHLLOKONA-N,CHEMBL1767149,147,A,6.5,chembl20,741666,9606,ADRA1B,93,C=1(C=C(CC2=NN(C[C@H]3CCCN3C)C(C=4C2=CC=CC4)=O)C=CC1F)F
GKIRPKYJQBWNGO-OCEACIFDNA-N,CHEMBL954,24173,A,5.6,chembl20,774697,10116,ADRA1B,93,C(=C(\C1=CC=CC=C1)/Cl)(\C=2C=CC(=CC2)OCCN(CC)CC)/C=3C=CC=CC3
FTUCKVYWXINSAK-NSHDSACANA-N,CHEMBL388564,24173,A,6.92,chembl20,528004,10116,ADRA1B,93,C=1(C(=C2C3=C(C1OC)C=4C(C[C@@H]3N(CC2)C)=C(C(=C(C4)OC)O)Br)Br)O
FUCGAUZSWYLMRK-LQFNOIFHNA-N,5487531,24173,A,9.17393,pubchem,37210,10116,ADRA1B,93,O=C1N2C(CN3CCN(CC3)C=4C(OC)=CC=CC4)CN=C2C5=C(N1)C=CC=C5
FUCGAUZSWYLMRK-RMNCOEOXNA-N,CHEMBL1788222,24173,A,9.38,chembl20,34340,10116,ADRA1B,93,N12C(=NC[C@@H]1CN3CCN(CC3)C=4C(OC)=CC=CC4)C=5C=CC=CC5NC2=O
DIHJKGKNVGCNHJ-UHFFFAOYNA-N,53328873,147,A,6.63001,pubchem,603872,9606,ADRA1B,93,O=C1N(C(=O)CC2(CCC=3C2=CC=CC3)C1)CCCN4CCN(CC4)C=5C(OC)=CC=CC5
DLXKEWOEEPMPHX-PMACEKPBNA-N,44538690,147,A,6.98297,pubchem,1128463,9606,ADRA1B,93,FC=1C=CC(C(=O)CCCN2C[C@@H]3[C@@H](N4C5=C3C=CC=C5OCC4)CC2)=CC1
FBYVWPPEENYVFP-UHFFFAOYNA-N,CHEMBL1078750,147,A,6,chembl20,615773,9606,ADRA1B,93,O1C(OCC1CNCCOC2=CC=C(C=C2)C3=CC=CC=C3)(C4=CC=CC=C4)C=5C=CC=CC5
DKGZKTPJOSAWFA-LNNLXFCONA-N,CHEMBL267930,24173,A,8.89,chembl20,32274,10116,ADRA1B,93,C12(N(CNC1=O)C=3C=CC=CC3)CCN(CC2)CCCC(C=4C=CC(=CC4)F)=O
FLGSUSWMWSZVMP-LNNLXFCONA-N,44207909,147,A,6.04096,pubchem,511764,9606,ADRA1B,93,O1C=2C(N(CCCN3CCC(NC(=O)CC4=CC=CC=C4)CC3)C(=O)C1)=CC=CC2
FNEORDYLRZOEEP-LJQANCHMNA-N,71454639,147,A,7.70006,pubchem,687271,9606,ADRA1B,93,ClC1=CC=C(CC2=NN(C[C@@H]3N(CCC3)CCCC)C(=O)C=4C2=NC=CC4)C=C1
DVYBIZHLZSDANU-KRWDZBQONA-N,CHEMBL2092927,24173,A,6.18,chembl20,34340,10116,ADRA1B,93,N12C(=NC[C@H]1CN3CCN(CC3)C=4C(OC)=CC=CC4)C=5C=CC=CC5N=C2SC
HTHMMDLGLVQHEM-GOSISDBHNA-N,CHEMBL1767141,147,A,7.8,chembl20,741666,9606,ADRA1B,93,C=1C=C(CC=2C=3C(=CC=CC3)C(=O)N(C[C@H]4CCCN4C)N2)C=CC1C
YHGQVXFIJGWOFP-LQFNOIFHNA-N,CHEMBL436760,147,A,6.13,chembl20,32894,9606,ADRA1B,93,C1(=CC=C2C(C=3N=C(NC3)C(=O)C=4C5=C(NC4)C=C(C=C5)O)=CNC2=C1)Br
HIASEHRDTBGCHW-HSZRJFAPNA-N,CHEMBL493486,147,A,7.66,chembl20,936572,9606,ADRA1B,93,C1C(O[C@@H](CO1)CNCCOC=2C=CC=CC2OC)(C3=CC=CC=C3)C4=CC=CC=C4
HIASEHRDTBGCHW-QHCPKHFHNA-N,CHEMBL2312536,147,A,6.38,chembl20,936572,9606,ADRA1B,93,C1C(O[C@H](CO1)CNCCOC2=C(C=CC=C2)OC)(C3=CC=CC=C3)C4=CC=CC=C4
IJJBWWOBEVOGBS-UHFFFAOYNA-N,CHEMBL78785,147,A,8.26,chembl20,216132,9606,ADRA1B,93,N=1N(C(=O)C(CC1C=2C=CC=CC2)=NCCCN3CCN(CC3)C4=C(OC)C=CC=C4)C
IIRJWNCOXHFIBK-MPIMZMORNA-N,CHEMBL275469,147,N,4.34,chembl20,34332,9606,ADRA1B,93,N1(C(=O)CCCC1)CC(=O)NCCN2CCN(CC2)C3=C(OC(C)C)C=CC=C3
HMSQOZVGOAWQNS-UHFFFAOYNA-N,CHEMBL1259128,24173,A,10,chembl20,665666,10116,ADRA1B,93,C1(N2CCN(CC2)C)C3=C(SC4=C(C=CC=C4)C1)C=CC(=C3)CC=5N=NN(N5)C
GNTLDZVFSGMZMM-UHFFFAOYNA-N,18738384,147,A,6.21112,pubchem,37201,9606,ADRA1B,93,S1C(CN2CCN(CC2)C=3C(OC(C)C)=CC=CC3)=CC(CN4CCCCCC4=O)=C1
GRLMWWLAYDWUKA-UHFFFAOYNA-N,56946578,147,A,6.85001,pubchem,643006,9606,ADRA1B,93,O=C1C(CCC1CN2CCN(CC2)C=3C(OC)=CC=CC3)(C4=CC=CC=C4)C5=CC=CC=C5
GPKJTRJOBQGKQK-LNNLXFCONA-N,CHEMBL7568,24173,A,5.72,chembl20,774697,10116,ADRA1B,93,C=1(C2=C(C=CC(=C2)OC)N=C3C1C=CC(Cl)=C3)NC(CCCN(CC)CC)C
IPBOROXXRHATRV-UHFFFAOYNA-N,CHEMBL1169493,147,A,6.03,chembl20,33013,9606,ADRA1B,93,CCOC(C1CN(CCCCN2C(C3=CC(=CC=C3S2(=O)=O)Cl)=O)CCC1C4=CC=CC=C4)=O
IENZQIKPVFGBNW-HPHMPNDVNA-N,CHEMBL2,147,A,9.68,chembl20,34346,9606,ADRA1B,93,C=1(N=C(N)C=2C(N1)=CC(=C(OC)C2)OC)N3CCN(C(C=4OC=CC4)=O)CC3
IENZQIKPVFGBNW-HPHMPNDVNA-N,CHEMBL2,24173,A,10,chembl20,774697,10116,ADRA1B,93,C=1(N=C(N)C=2C(N1)=CC(=C(OC)C2)OC)N3CCN(C(C=4OC=CC4)=O)CC3
LCQWPVVMQXWHCZ-UHFFFAOYNA-N,CHEMBL1796034,147,A,7.52,chembl20,753882,9606,ADRA1B,93,N1(C(CC(CC1=O)C=2C=CC=CC2)=O)CCCCN3CCN(CC3)C=4C(=CC=CC4)Cl
KMFDXNUGIFDFHQ-LJQANCHMNA-N,CHEMBL2146803,147,A,7.9,chembl20,848015,9606,ADRA1B,93,C=1C=CC=2C(=NN(C[C@H]3CCCN3CCOC)C(C2C1)=O)CC=4C=CC(=CC4)Cl
KHXNVNNRQVTRJN-FQEVSTJZNA-N,CHEMBL214694,24173,A,6.87,chembl20,412949,10116,ADRA1B,93,C=1C=C2O[C@H](COC2=CC1)CNCCOC3=C(C=CC(=C3)C4=CC=CC=C4)OC
KBBRTQPTKZOUOZ-UHFFFAOYNA-N,CHEMBL274529,147,A,5,chembl20,34332,9606,ADRA1B,93,N1(C(=O)CCCC1)CC(CC(CN2CCN(CC2)C3=C(OC(C)C)C=CC=C3)=O)=O
MMNXGMKPQQFESW-UHFFFAOYNA-N,44431547,147,A,6.98716,pubchem,296251,9606,ADRA1B,93,S(=O)(=O)(NC1CCC(N2CCN(CC2)C=3C(OC(C)C)=CC=CC3)CC1)C=4C(F)=CC=CC4
KSRPSBGXBYSONY-UHFFFAOYNA-N,CHEMBL69848,147,A,6.59,chembl20,34331,9606,ADRA1B,93,N1(C(=O)CCC1)CC=2C=C(CN3CCN(CC3)C4=C(OC(C)C)C=CC=C4)SC2
