Compound ID,Uniprot ID,Compound Name,Standard inchi key,Max Phase,Target Pref Name,Gene Names,Target Class,Wild type or mutant,Mutation information,PubMed ID,End Point Standard Type,End Point Standard Relation,End Point Standard Value,End Point Standard Units,Endpoint Mode of Action,Assay Format,Assay Type,Assay Sub Type,Inhibitor Type,Detection Technology,Compound concentration value,Compound concentration value units,Substrate type,Substrate Type Standard Relation,Substrate Type Standard Value,Substrate Type Standard Units,Assay cell line,Assay Description,Activity Comments,Title,Journal,Year,Volume,Issue,Authors,Annotation Comments,Assay ID,DTC Tid,DTC Activity ID,DTC Molregno,Record ID,DTC Document ID
CHEMBL1767153,P35368,,ZAIFESHMEUUZQE-OAHLLOKOSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,21381763,KI,=,1000,NM,,,,,,,,,,,,,,Binding affinity to human adrenergic Alpha-1B receptor expressed in rat intact fibroblasts,,The discovery of phthalazinone-based human H1 and H3 single-ligand antagonists suitable for intranasal administration for the treatment of allergic rhinitis.,J. Med. Chem.,2011,54,7,"Procopiou PA, Browning C, Buckley JM, Clark KL, Fechner L, Gore PM, Hancock AP, Hodgson ST, Holmes DS, Kranz M, Looker BE, Morriss KM, Parton DL, Russell LJ, Slack RJ, Sollis SL, Vile S, Watts CJ",,741666,DTCT0023207,5929118,DTCC01079672,491220,44212
CHEMBL1767154,P35368,,WYRUGBCTQBZIHO-KRWDZBQOSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,21381763,KI,=,19.95,NM,,,,,,,,,,,,,,Binding affinity to human adrenergic Alpha-1B receptor expressed in rat intact fibroblasts,,The discovery of phthalazinone-based human H1 and H3 single-ligand antagonists suitable for intranasal administration for the treatment of allergic rhinitis.,J. Med. Chem.,2011,54,7,"Procopiou PA, Browning C, Buckley JM, Clark KL, Fechner L, Gore PM, Hancock AP, Hodgson ST, Holmes DS, Kranz M, Looker BE, Morriss KM, Parton DL, Russell LJ, Slack RJ, Sollis SL, Vile S, Watts CJ",,741666,DTCT0023207,5929145,DTCC01079673,1778941,44212
CHEMBL1767155,P35368,,OIZYYUJMNZAXNN-UHFFFAOYSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,21381763,KI,=,79.43,NM,,,,,,,,,,,,,,Binding affinity to human adrenergic Alpha-1B receptor expressed in rat intact fibroblasts,,The discovery of phthalazinone-based human H1 and H3 single-ligand antagonists suitable for intranasal administration for the treatment of allergic rhinitis.,J. Med. Chem.,2011,54,7,"Procopiou PA, Browning C, Buckley JM, Clark KL, Fechner L, Gore PM, Hancock AP, Hodgson ST, Holmes DS, Kranz M, Looker BE, Morriss KM, Parton DL, Russell LJ, Slack RJ, Sollis SL, Vile S, Watts CJ",,741666,DTCT0023207,5929135,DTCC01079674,587715,44212
CHEMBL1767156,P35368,,FRUMSZUUBXPHHF-UHFFFAOYSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,21381763,KI,=,6.31,NM,,,,,,,,,,,,,,Binding affinity to human adrenergic Alpha-1B receptor expressed in rat intact fibroblasts,,The discovery of phthalazinone-based human H1 and H3 single-ligand antagonists suitable for intranasal administration for the treatment of allergic rhinitis.,J. Med. Chem.,2011,54,7,"Procopiou PA, Browning C, Buckley JM, Clark KL, Fechner L, Gore PM, Hancock AP, Hodgson ST, Holmes DS, Kranz M, Looker BE, Morriss KM, Parton DL, Russell LJ, Slack RJ, Sollis SL, Vile S, Watts CJ",,741666,DTCT0023207,5929147,DTCC01079675,943156,44212
CHEMBL1767157,P35368,,HNLNXYUSMGCHFW-UHFFFAOYSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,21381763,KI,=,316.23,NM,,,,,,,,,,,,,,Binding affinity to human adrenergic Alpha-1B receptor expressed in rat intact fibroblasts,,The discovery of phthalazinone-based human H1 and H3 single-ligand antagonists suitable for intranasal administration for the treatment of allergic rhinitis.,J. Med. Chem.,2011,54,7,"Procopiou PA, Browning C, Buckley JM, Clark KL, Fechner L, Gore PM, Hancock AP, Hodgson ST, Holmes DS, Kranz M, Looker BE, Morriss KM, Parton DL, Russell LJ, Slack RJ, Sollis SL, Vile S, Watts CJ",,741666,DTCT0023207,5929126,DTCC01079676,1875684,44212
CHEMBL1767158,P35368,,OEYDBWKMXFZENQ-UHFFFAOYSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,21381763,KI,=,158.49,NM,,,,,,,,,,,,,,Binding affinity to human adrenergic Alpha-1B receptor expressed in rat intact fibroblasts,,The discovery of phthalazinone-based human H1 and H3 single-ligand antagonists suitable for intranasal administration for the treatment of allergic rhinitis.,J. Med. Chem.,2011,54,7,"Procopiou PA, Browning C, Buckley JM, Clark KL, Fechner L, Gore PM, Hancock AP, Hodgson ST, Holmes DS, Kranz M, Looker BE, Morriss KM, Parton DL, Russell LJ, Slack RJ, Sollis SL, Vile S, Watts CJ",,741666,DTCT0023207,5929129,DTCC01079677,1396635,44212
CHEMBL1767159,P35368,,QYAXGGUCDQSHIT-UHFFFAOYSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,21381763,KI,=,125.89,NM,,,,,,,,,,,,,,Binding affinity to human adrenergic Alpha-1B receptor expressed in rat intact fibroblasts,,The discovery of phthalazinone-based human H1 and H3 single-ligand antagonists suitable for intranasal administration for the treatment of allergic rhinitis.,J. Med. Chem.,2011,54,7,"Procopiou PA, Browning C, Buckley JM, Clark KL, Fechner L, Gore PM, Hancock AP, Hodgson ST, Holmes DS, Kranz M, Looker BE, Morriss KM, Parton DL, Russell LJ, Slack RJ, Sollis SL, Vile S, Watts CJ",,741666,DTCT0023207,5929132,DTCC01079678,361630,44212
CHEMBL1767160,P35368,,REXVRCXDIWIKGL-UHFFFAOYSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,21381763,KI,=,79.43,NM,,,,,,,,,,,,,,Binding affinity to human adrenergic Alpha-1B receptor expressed in rat intact fibroblasts,,The discovery of phthalazinone-based human H1 and H3 single-ligand antagonists suitable for intranasal administration for the treatment of allergic rhinitis.,J. Med. Chem.,2011,54,7,"Procopiou PA, Browning C, Buckley JM, Clark KL, Fechner L, Gore PM, Hancock AP, Hodgson ST, Holmes DS, Kranz M, Looker BE, Morriss KM, Parton DL, Russell LJ, Slack RJ, Sollis SL, Vile S, Watts CJ",,741666,DTCT0023207,5929137,DTCC01079680,328992,44212
CHEMBL1767161,P35368,,QLOCEFPHCAKSLE-UHFFFAOYSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,21381763,KI,=,100,NM,,,,,,,,,,,,,,Binding affinity to human adrenergic Alpha-1B receptor expressed in rat intact fibroblasts,,The discovery of phthalazinone-based human H1 and H3 single-ligand antagonists suitable for intranasal administration for the treatment of allergic rhinitis.,J. Med. Chem.,2011,54,7,"Procopiou PA, Browning C, Buckley JM, Clark KL, Fechner L, Gore PM, Hancock AP, Hodgson ST, Holmes DS, Kranz M, Looker BE, Morriss KM, Parton DL, Russell LJ, Slack RJ, Sollis SL, Vile S, Watts CJ",,741666,DTCT0023207,5929134,DTCC01079681,1493448,44212
CHEMBL1767162,P35368,,UUYDLXMNWLLYQV-UHFFFAOYSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,21381763,KI,=,316.23,NM,,,,,,,,,,,,,,Binding affinity to human adrenergic Alpha-1B receptor expressed in rat intact fibroblasts,,The discovery of phthalazinone-based human H1 and H3 single-ligand antagonists suitable for intranasal administration for the treatment of allergic rhinitis.,J. Med. Chem.,2011,54,7,"Procopiou PA, Browning C, Buckley JM, Clark KL, Fechner L, Gore PM, Hancock AP, Hodgson ST, Holmes DS, Kranz M, Looker BE, Morriss KM, Parton DL, Russell LJ, Slack RJ, Sollis SL, Vile S, Watts CJ",,741666,DTCT0023207,5929125,DTCC01079682,620104,44212
CHEMBL1767163,P35368,,QQERDUJEEYWVED-UHFFFAOYSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,21381763,KI,>,1995.26,NM,,,,,,,,,,,,,,Binding affinity to human adrenergic Alpha-1B receptor expressed in rat intact fibroblasts,,The discovery of phthalazinone-based human H1 and H3 single-ligand antagonists suitable for intranasal administration for the treatment of allergic rhinitis.,J. Med. Chem.,2011,54,7,"Procopiou PA, Browning C, Buckley JM, Clark KL, Fechner L, Gore PM, Hancock AP, Hodgson ST, Holmes DS, Kranz M, Looker BE, Morriss KM, Parton DL, Russell LJ, Slack RJ, Sollis SL, Vile S, Watts CJ",,741666,DTCT0023207,5929116,DTCC01079683,1007709,44212
CHEMBL1767164,P35368,,YANGEESWIGIKOP-UUWRZZSWSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,21381763,KI,=,31.62,NM,,,,,,,,,,,,,,Binding affinity to human adrenergic Alpha-1B receptor expressed in rat intact fibroblasts,,The discovery of phthalazinone-based human H1 and H3 single-ligand antagonists suitable for intranasal administration for the treatment of allergic rhinitis.,J. Med. Chem.,2011,54,7,"Procopiou PA, Browning C, Buckley JM, Clark KL, Fechner L, Gore PM, Hancock AP, Hodgson ST, Holmes DS, Kranz M, Looker BE, Morriss KM, Parton DL, Russell LJ, Slack RJ, Sollis SL, Vile S, Watts CJ",,741666,DTCT0023207,5929142,DTCC01079684,1654940,44212
CHEMBL1767164,P35368,,YANGEESWIGIKOP-UUWRZZSWSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,22985961,KI,=,31.62,NM,,,,,,,,,,,,,,Antagonist activity at human adrenergic alpha1B receptor expressed in rat fibroblasts by by plate-based calcium imaging,,Synthesis and pharmacological investigation of azaphthalazinone human histamine H(1) receptor antagonists.,Bioorg. Med. Chem.,2012,20,20,"Procopiou PA, Browning C, Gore PM, Lynn SM, Richards SA, Slack RJ, Sollis SL",,848015,DTCT0023207,11345767,DTCC01079684,1656024,50693
CHEMBL1767165,P35368,,AWKFJGDSZGEFRY-UUWRZZSWSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,21381763,KI,=,50.12,NM,,,,,,,,,,,,,,Binding affinity to human adrenergic Alpha-1B receptor expressed in rat intact fibroblasts,,The discovery of phthalazinone-based human H1 and H3 single-ligand antagonists suitable for intranasal administration for the treatment of allergic rhinitis.,J. Med. Chem.,2011,54,7,"Procopiou PA, Browning C, Buckley JM, Clark KL, Fechner L, Gore PM, Hancock AP, Hodgson ST, Holmes DS, Kranz M, Looker BE, Morriss KM, Parton DL, Russell LJ, Slack RJ, Sollis SL, Vile S, Watts CJ",,741666,DTCT0023207,5929139,DTCC01079685,813627,44212
CHEMBL1767166,P35368,,IMKMPTLRTHMERW-MGBGTMOVSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,21381763,KI,=,125.89,NM,,,,,,,,,,,,,,Binding affinity to human adrenergic Alpha-1B receptor expressed in rat intact fibroblasts,,The discovery of phthalazinone-based human H1 and H3 single-ligand antagonists suitable for intranasal administration for the treatment of allergic rhinitis.,J. Med. Chem.,2011,54,7,"Procopiou PA, Browning C, Buckley JM, Clark KL, Fechner L, Gore PM, Hancock AP, Hodgson ST, Holmes DS, Kranz M, Looker BE, Morriss KM, Parton DL, Russell LJ, Slack RJ, Sollis SL, Vile S, Watts CJ",,741666,DTCT0023207,5929131,DTCC01079686,1007710,44212
CHEMBL1767167,P35368,,GQWSXILTLUTBAJ-PGUFJCEWSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,21381763,KI,=,50.12,NM,,,,,,,,,,,,,,Binding affinity to human adrenergic Alpha-1B receptor expressed in rat intact fibroblasts,,The discovery of phthalazinone-based human H1 and H3 single-ligand antagonists suitable for intranasal administration for the treatment of allergic rhinitis.,J. Med. Chem.,2011,54,7,"Procopiou PA, Browning C, Buckley JM, Clark KL, Fechner L, Gore PM, Hancock AP, Hodgson ST, Holmes DS, Kranz M, Looker BE, Morriss KM, Parton DL, Russell LJ, Slack RJ, Sollis SL, Vile S, Watts CJ",,741666,DTCT0023207,5929141,DTCC01079687,879007,44212
CHEMBL1767168,P35368,,YANGEESWIGIKOP-UMSFTDKQSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,21381763,KI,=,39.81,NM,,,,,,,,,,,,,,Binding affinity to human adrenergic Alpha-1B receptor expressed in rat intact fibroblasts,,The discovery of phthalazinone-based human H1 and H3 single-ligand antagonists suitable for intranasal administration for the treatment of allergic rhinitis.,J. Med. Chem.,2011,54,7,"Procopiou PA, Browning C, Buckley JM, Clark KL, Fechner L, Gore PM, Hancock AP, Hodgson ST, Holmes DS, Kranz M, Looker BE, Morriss KM, Parton DL, Russell LJ, Slack RJ, Sollis SL, Vile S, Watts CJ",,741666,DTCT0023207,5929140,DTCC01079688,1875686,44212
CHEMBL1774991,P35368,,YTOGOMGUCNEXIR-UHFFFAOYSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,21520940,KI,=,185,NM,,,,,,,,,,,,,,Inhibition of adrenergic Alpha-1B receptor,,"Design, Synthesis, Radiolabeling, and in Vitro and in Vivo Evaluation of Bridgehead Iodinated Analogues of N-{2-[4-(2-Methoxyphenyl)piperazin-1-yl]ethyl}-N-(pyridin-2-yl)cyclohexanecarboxamide (WAY-100635) as Potential SPECT Ligands for the 5-HT(1A) Receptor.",J. Med. Chem.,2011,54,10,"Al Hussainy R, Verbeek J, van der Born D, Braker AH, Leysen JE, Knol RJ, Booij J, Herscheid JK",,747462,DTCT0023207,5942739,DTCC01083260,1575851,44583
CHEMBL1774995,P35368,,IUEHDTRLKKNLDW-UHFFFAOYSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,21520940,KI,=,25,NM,,,,,,,,,,,,,,Inhibition of adrenergic Alpha-1B receptor,,"Design, Synthesis, Radiolabeling, and in Vitro and in Vivo Evaluation of Bridgehead Iodinated Analogues of N-{2-[4-(2-Methoxyphenyl)piperazin-1-yl]ethyl}-N-(pyridin-2-yl)cyclohexanecarboxamide (WAY-100635) as Potential SPECT Ligands for the 5-HT(1A) Receptor.",J. Med. Chem.,2011,54,10,"Al Hussainy R, Verbeek J, van der Born D, Braker AH, Leysen JE, Knol RJ, Booij J, Herscheid JK",,747462,DTCT0023207,5942738,DTCC01083264,1252166,44583
CHEMBL17764,P35368,,WPXZJENXASTONP-UHFFFAOYSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,12643939,EC50,<,100000,NM,,cell_based,,,,,,,,,,,,"Agonism of human alpha-1B adrenergic receptor, expressed in rat 1 fibroblast cells",,2-(Anilinomethyl)imidazolines as alpha1 adrenergic receptor agonists: alpha1a subtype selective 2'-heteroaryl compounds.,Bioorg. Med. Chem. Lett.,2003,13,6,"Speake JD, Navas F, Bishop MJ, Garrison DT, Bigham EC, Hodson SJ, Saussy DL, Liacos JA, Irving PE, Sherman BW",,34478,DTCT0023207,963658,DTCC00148842,1437869,6217
CHEMBL17764,P35368,,WPXZJENXASTONP-UHFFFAOYSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,12643939,MAX RESPONSE,=,0,%,,,,,,,,,,,,,,Maximal response assayed via calcium mobilization to human alpha-1B adrenergic receptor compared to percent of the 40 mM phenylephrine response.,,2-(Anilinomethyl)imidazolines as alpha1 adrenergic receptor agonists: alpha1a subtype selective 2'-heteroaryl compounds.,Bioorg. Med. Chem. Lett.,2003,13,6,"Speake JD, Navas F, Bishop MJ, Garrison DT, Bigham EC, Hodson SJ, Saussy DL, Liacos JA, Irving PE, Sherman BW",,34470,DTCT0023207,963661,DTCC00148842,1437869,6217
CHEMBL17776,P35368,,INARLERZKDBYDJ-UHFFFAOYSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,12643939,EC50,=,316.23,NM,,cell_based,,,,,,,,,,,,"Agonism of human alpha-1B adrenergic receptor, expressed in rat 1 fibroblast cells",,2-(Anilinomethyl)imidazolines as alpha1 adrenergic receptor agonists: alpha1a subtype selective 2'-heteroaryl compounds.,Bioorg. Med. Chem. Lett.,2003,13,6,"Speake JD, Navas F, Bishop MJ, Garrison DT, Bigham EC, Hodson SJ, Saussy DL, Liacos JA, Irving PE, Sherman BW",,34478,DTCT0023207,954468,DTCC00149115,2015438,6217
CHEMBL17776,P35368,,INARLERZKDBYDJ-UHFFFAOYSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,12643939,MAX RESPONSE,=,74,%,,,,,,,,,,,,,,Maximal response assayed via calcium mobilization to human alpha-1B adrenergic receptor compared to percent of the 40 mM phenylephrine response.,,2-(Anilinomethyl)imidazolines as alpha1 adrenergic receptor agonists: alpha1a subtype selective 2'-heteroaryl compounds.,Bioorg. Med. Chem. Lett.,2003,13,6,"Speake JD, Navas F, Bishop MJ, Garrison DT, Bigham EC, Hodson SJ, Saussy DL, Liacos JA, Irving PE, Sherman BW",,34470,DTCT0023207,954472,DTCC00149115,2015438,6217
CHEMBL1779058,P35368,,HJKLOGARPBXZTP-UHFFFAOYSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,22959245,KI,,,,,,,,,,,,,,,,,Binding affinity to alpha1B adrenergic receptor,Not Determined,"A s(1) receptor pharmacophore derived from a series of N-substituted 4-azahexacyclo[5.4.1.0(2,6).0(3,10).0(5,9).0(8,11)]dodecan-3-ols (AHDs).",Bioorg. Med. Chem. Lett.,2012,22,19,"Banister SD, Manoli M, Doddareddy MR, Hibbs DE, Kassiou M",,884055,DTCT0023207,11474325,DTCC01084658,232067,51935
CHEMBL1779059,P35368,,QCBXRMVDVAHCPR-UHFFFAOYSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,22959245,KI,,,,,,,,,,,,,,,,,Binding affinity to alpha1B adrenergic receptor,Not Determined,"A s(1) receptor pharmacophore derived from a series of N-substituted 4-azahexacyclo[5.4.1.0(2,6).0(3,10).0(5,9).0(8,11)]dodecan-3-ols (AHDs).",Bioorg. Med. Chem. Lett.,2012,22,19,"Banister SD, Manoli M, Doddareddy MR, Hibbs DE, Kassiou M",,884055,DTCT0023207,11474302,DTCC01084659,1365536,51935
CHEMBL1779060,P35368,,ZOAKYUHDXICZSY-UHFFFAOYSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,22959245,KI,,,,,,,,,,,,,,,,,Binding affinity to alpha1B adrenergic receptor,Not Determined,"A s(1) receptor pharmacophore derived from a series of N-substituted 4-azahexacyclo[5.4.1.0(2,6).0(3,10).0(5,9).0(8,11)]dodecan-3-ols (AHDs).",Bioorg. Med. Chem. Lett.,2012,22,19,"Banister SD, Manoli M, Doddareddy MR, Hibbs DE, Kassiou M",,884055,DTCT0023207,11474277,DTCC01084660,1719581,51935
CHEMBL17819,P35368,,QHTWLQHVCYOHJB-UHFFFAOYSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,12643939,EC50,<,5011.87,NM,,cell_based,,,,,,,,,,,,"Agonism of human alpha-1B adrenergic receptor, expressed in rat 1 fibroblast cells",,2-(Anilinomethyl)imidazolines as alpha1 adrenergic receptor agonists: alpha1a subtype selective 2'-heteroaryl compounds.,Bioorg. Med. Chem. Lett.,2003,13,6,"Speake JD, Navas F, Bishop MJ, Garrison DT, Bigham EC, Hodson SJ, Saussy DL, Liacos JA, Irving PE, Sherman BW",,34478,DTCT0023207,971502,DTCC00148843,1177867,6217
CHEMBL17819,P35368,,QHTWLQHVCYOHJB-UHFFFAOYSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,12643939,MAX RESPONSE,=,0,%,,,,,,,,,,,,,,Maximal response assayed via calcium mobilization to human alpha-1B adrenergic receptor compared to percent of the 40 mM phenylephrine response.,,2-(Anilinomethyl)imidazolines as alpha1 adrenergic receptor agonists: alpha1a subtype selective 2'-heteroaryl compounds.,Bioorg. Med. Chem. Lett.,2003,13,6,"Speake JD, Navas F, Bishop MJ, Garrison DT, Bigham EC, Hodson SJ, Saussy DL, Liacos JA, Irving PE, Sherman BW",,34470,DTCT0023207,971505,DTCC00148843,1177867,6217
CHEMBL17851,P35368,,QBNMURIWVMBLCJ-UHFFFAOYSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,12643939,EC50,<,100000,NM,,cell_based,,,,,,,,,,,,"Agonism of human alpha-1B adrenergic receptor, expressed in rat 1 fibroblast cells",,2-(Anilinomethyl)imidazolines as alpha1 adrenergic receptor agonists: alpha1a subtype selective 2'-heteroaryl compounds.,Bioorg. Med. Chem. Lett.,2003,13,6,"Speake JD, Navas F, Bishop MJ, Garrison DT, Bigham EC, Hodson SJ, Saussy DL, Liacos JA, Irving PE, Sherman BW",,34478,DTCT0023207,976109,DTCC00148873,1242984,6217
CHEMBL17851,P35368,,QBNMURIWVMBLCJ-UHFFFAOYSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,12643939,IC50,=,398.11,NM,,cell_based,,,,,,,,,,,,"Inhibitory concentration against radioligand binding to human Alpha-1B adrenergic receptor, expressed in rat 1 fibroblast cells",,2-(Anilinomethyl)imidazolines as alpha1 adrenergic receptor agonists: alpha1a subtype selective 2'-heteroaryl compounds.,Bioorg. Med. Chem. Lett.,2003,13,6,"Speake JD, Navas F, Bishop MJ, Garrison DT, Bigham EC, Hodson SJ, Saussy DL, Liacos JA, Irving PE, Sherman BW",,34484,DTCT0023207,976115,DTCC00148873,1242984,6217
CHEMBL17851,P35368,,QBNMURIWVMBLCJ-UHFFFAOYSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,12643939,MAX RESPONSE,=,0,%,,,,,,,,,,,,,,Maximal response assayed via calcium mobilization to human alpha-1B adrenergic receptor compared to percent of the 40 mM phenylephrine response.,,2-(Anilinomethyl)imidazolines as alpha1 adrenergic receptor agonists: alpha1a subtype selective 2'-heteroaryl compounds.,Bioorg. Med. Chem. Lett.,2003,13,6,"Speake JD, Navas F, Bishop MJ, Garrison DT, Bigham EC, Hodson SJ, Saussy DL, Liacos JA, Irving PE, Sherman BW",,34470,DTCT0023207,976112,DTCC00148873,1242984,6217
CHEMBL17856,P35368,,QBZZRVBTXBSWLN-UHFFFAOYSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,12643939,EC50,=,50.12,NM,,cell_based,,,,,,,,,,,,"Agonism of human alpha-1B adrenergic receptor, expressed in rat 1 fibroblast cells",,2-(Anilinomethyl)imidazolines as alpha1 adrenergic receptor agonists: alpha1a subtype selective 2'-heteroaryl compounds.,Bioorg. Med. Chem. Lett.,2003,13,6,"Speake JD, Navas F, Bishop MJ, Garrison DT, Bigham EC, Hodson SJ, Saussy DL, Liacos JA, Irving PE, Sherman BW",,34478,DTCT0023207,971508,DTCC00149119,370871,6217
CHEMBL17856,P35368,,QBZZRVBTXBSWLN-UHFFFAOYSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,12643939,MAX RESPONSE,=,33,%,,,,,,,,,,,,,,Maximal response assayed via calcium mobilization to human alpha-1B adrenergic receptor compared to percent of the 40 mM phenylephrine response.,,2-(Anilinomethyl)imidazolines as alpha1 adrenergic receptor agonists: alpha1a subtype selective 2'-heteroaryl compounds.,Bioorg. Med. Chem. Lett.,2003,13,6,"Speake JD, Navas F, Bishop MJ, Garrison DT, Bigham EC, Hodson SJ, Saussy DL, Liacos JA, Irving PE, Sherman BW",,34470,DTCT0023207,971511,DTCC00149119,370871,6217
CHEMBL178673,P35368,,WLZJELZXDHZVLY-UHFFFAOYSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,15633998,KI,=,0.309,NM,,cell_based,,,,,,,,,,,CHO,Equilibrium dissociation constant was evaluated by radio-receptor binding assays using [3H]prazosin to label cloned human alpha 1b expressed in CHO cells,,"Design, synthesis, and biological evaluation of prazosin-related derivatives as multipotent compounds.",J. Med. Chem.,2005,48,1,"Antonello A, Hrelia P, Leonardi A, Marucci G, Rosini M, Tarozzi A, Tumiatti V, Melchiorre C",,303918,DTCT0023207,1737807,DTCC00380466,1916069,19215
CHEMBL1788231,P35368,,BDPXTGHWVMUJCT-OAQYLSRUSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,10669560,KI,<,1000,NM,,,,,,,,,,,,,,Binding affinity towards Alpha-1B adrenergic receptor,,"A novel, potent, and selective 5-HT(7) antagonist: (R)-3-(2-(2-(4-methylpiperidin-1-yl)ethyl)pyrrolidine-1-sulfonyl) phen ol (SB-269970).",J. Med. Chem.,2000,43,3,"Lovell PJ, Bromidge SM, Dabbs S, Duckworth DM, Forbes IT, Jennings AJ, King FD, Middlemiss DN, Rahman SK, Saunders DV, Collin LL, Hagan JJ, Riley GJ, Thomas DR",,32307,DTCT0023207,1118632,DTCC01088712,368839,16008
CHEMBL178923,P35368,,TZIDXYRBHBHFBV-UHFFFAOYSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,15633998,KI,=,1.26,NM,,cell_based,,,,,,,,,,,CHO,Equilibrium dissociation constant was evaluated by radio-receptor binding assays using [3H]prazosin to label cloned human alpha 1b expressed in CHO cells,,"Design, synthesis, and biological evaluation of prazosin-related derivatives as multipotent compounds.",J. Med. Chem.,2005,48,1,"Antonello A, Hrelia P, Leonardi A, Marucci G, Rosini M, Tarozzi A, Tumiatti V, Melchiorre C",,303918,DTCT0023207,1737687,DTCC00380448,1883867,19215
CHEMBL1789975,P35368,,UMVYPFAJDLQOIO-IWHLBADBSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,10987417,KI,=,1900,NM,,cell_based,,,,,,,,,,,LM,Displacement of [125I]HEAT from human Alpha-1B adrenergic receptor stably expressed in LM cells,,"Preparation and evaluation of 1,3-diaminocyclopentane-linked dihydropyrimidinone derivatives as selective alpha1a-receptor antagonists.",Bioorg. Med. Chem. Lett.,2000,10,17,"Barrow JC, Glass KL, Selnick HG, Freidinger RM, Chang RS, O'Malley SS, Woyden C",,34345,DTCT0023207,642337,DTCC01089574,690963,3840
CHEMBL179334,P35368,(-)-SNAP-5089,BBOBQBOYMRDFSY-GADTUSCJSA-N,0,ALPHA-1B ADRENERGIC RECEPTOR,ADRA1B,GPCR,,,7752182,KI,=,180,NM,,,,,,,,,,,,,,Ability to displace [3H]prazosin from cloned human Alpha-1B adrenergic receptor,,Discovery of alpha 1a-adrenergic receptor antagonists based on the L-type Ca2+ channel antagonist niguldipine.,J. Med. Chem.,1995,38,10,"Wetzel JM, Miao SW, Forray C, Borden LA, Branchek TA, Gluchowski C",,34326,DTCT0023207,1016089,DTCC00000755,884833,12993
